Date, Cityname, Citycode, Provincename, Number,weekday,month,day
2020-03-31, Laarbeek,1659, North Brabant,18,Tuesday,3,31
2020-03-31, Heeze-Leende,1658, North Brabant,5,Tuesday,3,31
2020-03-31, Halderberge,1655, North Brabant,9,Tuesday,3,31
2020-03-31, Gemert-Bakel,1652, North Brabant,48,Tuesday,3,31
2020-03-31, Maasgouw,1641, Limburg,10,Tuesday,3,31
2020-03-31, Leudal,1640, Limburg,32,Tuesday,3,31
2020-03-31, Lansingerland,1621, South Holland,15,Tuesday,3,31
2020-03-31, Koggenland,1598, North Holland,4,Tuesday,3,31
2020-03-31, Oost Gelre,1586, Gelderland,2,Tuesday,3,31
2020-03-31, Utrechtse Heuvelrug,1581, Utrecht,11,Tuesday,3,31
2020-03-31, Landerd,1685, North Brabant,20,Tuesday,3,31
2020-03-31, De Wolden,1690, Drenthe,2,Tuesday,3,31
2020-03-31, Wijdemeren,1696, North Holland,3,Tuesday,3,31
2020-03-31, Noordenveld,1699, Drenthe,1,Tuesday,3,31
2020-03-31, Overbetuwe,1734, Gelderland,32,Tuesday,3,31
2020-03-31, Midden-Drenthe,1731, Drenthe,4,Tuesday,3,31
2020-03-31, Tynaarlo,1730, Drenthe,5,Tuesday,3,31
2020-03-31, Gulpen-Wittem,1729, Limburg,2,Tuesday,3,31
2020-03-31, Bladel,1728, North Brabant,7,Tuesday,3,31
2020-03-31, Bergeijk,1724, North Brabant,5,Tuesday,3,31
2020-03-31, Alphen-Chaam,1723, North Brabant,9,Tuesday,3,31
2020-03-31, Bernheze,1721, North Brabant,57,Tuesday,3,31
2020-03-31, Neder-Betuwe,1740, Gelderland,22,Tuesday,3,31
2020-03-31, Drimmelen,1719, North Brabant,14,Tuesday,3,31
2020-03-31, Echt-Susteren,1711, Limburg,20,Tuesday,3,31
2020-03-31, Moerdijk,1709, North Brabant,5,Tuesday,3,31
2020-03-31, Steenwijkerland,1708, Overijssel,6,Tuesday,3,31
2020-03-31, Cranendonck,1706, North Brabant,28,Tuesday,3,31
2020-03-31, Lingewaard,1705, Gelderland,14,Tuesday,3,31
2020-03-31, Sint Anthonis,1702, Noord-Brabant,14,Tuesday,3,31
2020-03-31, Westerveld,1701, Drenthe,1,Tuesday,3,31
2020-03-31, Twenterand,1700, Overijssel,5,Tuesday,3,31
2020-03-31, Sluis,1714, Zeeland,4,Tuesday,3,31
2020-03-31, Voorschoten,626, South Holland,4,Tuesday,3,31
2020-03-31, Lelystad,995, Flevoland,24,Tuesday,3,31
2020-03-31, Westvoorne,614, South Holland,4,Tuesday,3,31
2020-03-31, Nijkerk,267, Gelderland,10,Tuesday,3,31
2020-03-31, Maasdriel,263, Gelderland,9,Tuesday,3,31
2020-03-31, Lochem,262, Gelderland,2,Tuesday,3,31
2020-03-31, Heumen,252, Gelderland,7,Tuesday,3,31
2020-03-31, Heerde,246, Gelderland,17,Tuesday,3,31
2020-03-31, Hattem,244, Gelderland,3,Tuesday,3,31
2020-03-31, Harderwijk,243, Gelderland,8,Tuesday,3,31
2020-03-31, Ermelo,233, Gelderland,8,Tuesday,3,31
2020-03-31, Epe,232, Gelderland,7,Tuesday,3,31
2020-03-31, Elburg,230, Gelderland,2,Tuesday,3,31
2020-03-31, Ede,228, Gelderland,24,Tuesday,3,31
2020-03-31, Duiven,226, Gelderland,4,Tuesday,3,31
2020-03-31, Druten,225, Gelderland,12,Tuesday,3,31
2020-03-31, Doetinchem,222, Gelderland,5,Tuesday,3,31
2020-03-31, Doesburg,221, Gelderland,3,Tuesday,3,31
2020-03-31, Culemborg,216, Gelderland,13,Tuesday,3,31
2020-03-31, Buren,214, Gelderland,5,Tuesday,3,31
2020-03-31, Nijmegen,268, Gelderland,72,Tuesday,3,31
2020-03-31, Oldebroek,269, Gelderland,6,Tuesday,3,31
2020-03-31, Putten,273, Gelderland,1,Tuesday,3,31
2020-03-31, Renkum,274, Gelderland,10,Tuesday,3,31
2020-03-31, Bunschoten,313, Utrecht,1,Tuesday,3,31
2020-03-31, Bunnik,312, Utrecht,4,Tuesday,3,31
2020-03-31, De Bilt,310, Utrecht,11,Tuesday,3,31
2020-03-31, Baarn,308, Utrecht,2,Tuesday,3,31
2020-03-31, Amersfoort,307, Utrecht,24,Tuesday,3,31
2020-03-31, Dronten,303, Flevoland,8,Tuesday,3,31
2020-03-31, Nunspeet,302, Gelderland,15,Tuesday,3,31
2020-03-31, Zutphen,301, Gelderland,5,Tuesday,3,31
2020-03-31, Beuningen,209, Gelderland,12,Tuesday,3,31
2020-03-31, Zevenaar,299, Gelderland,16,Tuesday,3,31
2020-03-31, Wijchen,296, Gelderland,27,Tuesday,3,31
2020-03-31, Winterswijk,294, Gelderland,1,Tuesday,3,31
2020-03-31, Westervoort,293, Gelderland,2,Tuesday,3,31
2020-03-31, Wageningen,289, Gelderland,5,Tuesday,3,31
2020-03-31, Voorst,285, Gelderland,3,Tuesday,3,31
2020-03-31, Tiel,281, Gelderland,21,Tuesday,3,31
2020-03-31, Rozendaal,277, Gelderland,1,Tuesday,3,31
2020-03-31, Rheden,275, Gelderland,20,Tuesday,3,31
2020-03-31, Zaltbommel,297, Gelderland,8,Tuesday,3,31
2020-03-31, Eemnes,317, Utrecht,1,Tuesday,3,31
2020-03-31, Barneveld,203, Gelderland,5,Tuesday,3,31
2020-03-31, Apeldoorn,200, Gelderland,19,Tuesday,3,31
2020-03-31, Hoogeveen,118, Drenthe,4,Tuesday,3,31
2020-03-31, Emmen,114, Drenthe,6,Tuesday,3,31
2020-03-31, Coevorden,109, Drenthe,5,Tuesday,3,31
2020-03-31, Assen,106, Drenthe,5,Tuesday,3,31
2020-03-31, Weststellingwerf,98, Friesland,2,Tuesday,3,31
2020-03-31, Smallingerland,90, Friesland,5,Tuesday,3,31
2020-03-31, Opsterland,86, Friesland,4,Tuesday,3,31
2020-03-31, Ooststellingwerf,85, Friesland,1,Tuesday,3,31
